numwords	771
314	france
315	istanbul
316	late
317	law
318	minister
319	paris
320	rights
321	turkish
322	bank
323	buy
324	date
325	good
326	money
327	book
328	books
329	children
330	game
331	husband
332	thrones
333	young
334	11
335	apple
336	rep
337	words
338	cover
339	makeup
340	26
341	air
342	art
343	artist
344	blood
345	christian
346	energy
347	japanese
348	land
349	prince
350	sea
351	wild
352	000
353	2015
354	34
355	airport
356	cruise
357	flights
358	lin
359	weight
360	writing
361	care
362	manager
363	pat
364	products
365	research
366	van
367	jul
368	music
369	pdt
370	west
371	attack
372	bill
373	dallas
374	eat
375	made
376	officer
377	park
378	public
379	app
380	band
381	california
382	company
383	dress
384	hong
385	income
386	jun
387	kong
388	michelle
389	mother
390	shirt
391	style
392	wearing
393	information
394	miss
395	nasa
396	planet
397	scientists
398	shot
399	space
400	catch
401	doesn
402	healthy
403	ice
404	matter
405	press
406	science
407	studies
408	swift
409	taylor
410	obama
411	brexit
412	domestic
413	election
414	eu
415	job
416	london
417	trade
418	window
419	canada
420	interview
421	jobs
422	jones
423	leslie
424	nation
425	earth
426	employees
427	hotel
428	labor
429	photographer
430	wildlife
431	father
432	speech
433	word
434	google
435	pokemon
436	researchers
437	hate
438	homes
439	items
440	skin
441	type
442	wilson
443	produce
444	america
445	british
446	clip
447	host
448	price
449	bader
450	cnn
451	court
452	ginsburg
453	ruth
454	supreme
455	central
456	south
457	victims
458	mary
459	names
460	16
461	crime
462	florida
463	incident
464	prayers
465	referendum
466	russian
467	beach
468	ceo
469	driving
470	gold
471	legal
472	marijuana
473	polls
474	voters
475	color
476	fundraising
477	orlando
478	artists
479	cancer
480	iran
481	movies
482	pizza
483	claims
484	germany
485	mexico
486	refugee
487	refugees
488	syria
489	syrian
490	god
491	jail
492	phil
493	pregnant
494	flag
495	judge
496	latinos
497	border
498	county
499	mexican
500	north
501	temperatures
502	spiritual
503	mr
504	robot
505	environmental
506	magazine
507	planned
508	pokémon
509	animal
510	fashion
511	sterling
512	trailer
513	war
514	bachelor
515	bernie
516	charges
517	gay
518	marriage
519	rape
520	sanders
521	sexual
522	virginia
523	wall
524	performance
525	sarah
526	son
527	de
528	soccer
529	bear
530	disorder
531	gender
532	illness
533	internet
534	online
535	pool
536	practice
537	reading
538	sex
539	tumblr
540	handler
541	zoo
542	mom
543	oprah
544	prison
545	married
546	rescue
547	restaurant
548	barack
549	emails
550	nuclear
551	poll
552	album
553	lgbt
554	male
555	queer
556	african
557	august
558	shoot
559	japan
560	tokyo
561	chinese
562	bed
563	democrats
564	guns
565	hamilton
566	uber
567	latino
568	legend
569	netflix
570	animals
571	conservation
572	cohen
573	http
574	disney
575	brother
576	faith
577	moore
578	gun
579	hill
580	perry
581	aug
582	workers
583	aircraft
584	ash
585	carter
586	attorney
587	china
588	conspiracy
589	federal
590	wolf
591	foundation
592	cat
593	lewandowski
594	immigration
595	assault
596	rio
597	hollywood
598	cats
599	donors
600	victim
601	football
602	harassment
603	injured
604	kate
605	nato
606	nfl
607	nice
608	transgender
609	farm
610	hispanic
611	mcdonald
612	miranda
613	musical
614	puerto
615	rico
616	wage
617	sleeping
618	coach
619	airlines
620	brazil
621	janeiro
622	olympics
623	quarterback
624	colbert
625	athletes
626	homeless
627	spice
628	students
629	wedding
630	africa
631	russia
632	canadian
633	boys
634	trans
635	stranger
636	korea
637	beijing
638	duterte
639	exercise
640	korean
641	missile
642	philippines
643	immigrants
644	schools
645	diet
646	link
647	stewart
648	chrissy
649	chrissyteigen
650	christine
651	pregnancy
652	teigen
653	davis
654	lewis
655	lava
656	crash
657	immigrant
658	khan
659	abortion
660	clinics
661	driver
662	resource
663	climate
664	bride
665	religious
666	tanzania
667	drivers
668	divorce
669	earthquake
670	brazilian
671	mosquito
672	olympic
673	truck
674	virus
675	zika
676	francis
677	pope
678	shefali
679	shelter
680	teachers
681	musk
682	tesla
683	couples
684	jonas
685	allen
686	species
687	manafort
688	undocumented
689	farmers
690	cooper
691	spain
692	jackson
693	storm
694	kanye
695	english
696	bail
697	veterans
698	toronto
699	kaepernick
700	jon
701	tyler
702	coal
703	relatedarticlesblocktitle
704	williams
705	schultz
706	blonde
707	meat
708	cdc
709	hawaii
710	flint
711	katrina
712	chicken
713	walker
714	lt
715	doping
716	lochte
717	ailes
718	carlson
719	bra
720	bras
721	taco
722	biles
723	gymnastics
724	hernandez
725	medal
726	simone
727	burger
728	reynolds
729	phelps
730	amp
731	hurricane
732	draft
733	brien
734	britney
735	spears
736	viewer
737	gymnast
738	church
739	latin
740	gordon
741	parenthood
742	bennett
743	spanish
744	lively
745	mask
746	quake
747	robbins
748	witherspoon
749	frida
750	nash
751	epa
752	indigenous
753	faulkner
754	harambe
755	haram
756	gulen
757	doherty
758	lesdoggg
759	dv
760	aetna
761	pistorius
762	steenkamp
763	shanice
764	tatum
765	fridakahlo
766	fridakahlotattoo
767	fgm
768	gt
769	abe
770	famousmelaniatrumpquotes
