numwords	672
299	divination
300	yelled
301	aunt
302	petunia
303	parvati
304	lay
305	human
306	scar
307	wormtail
308	mysteries
309	sky
310	summer
311	year
312	bane
313	lord
314	cave
315	sounded
316	leaves
317	ordinary
318	house
319	wizarding
320	bones
321	em
322	witches
323	high
324	crouch
325	frank
326	muggle
327	power
328	village
329	elf
330	moody
331	dobby
332	window
333	cross
334	twenty
335	smile
336	wearing
337	pitched
338	fifty
339	dragon
340	cabin
341	sign
342	bathroom
343	squeaked
344	witch
345	nose
346	elves
347	kitchen
348	car
349	died
350	lily
351	family
352	frog
353	boggart
354	dementor
355	lavender
356	cho
357	telephone
358	muggles
359	glass
360	play
361	angelina
362	including
363	injuries
364	maladies
365	bagman
366	lake
367	flew
368	master
369	task
370	news
371	gates
372	elder
373	grindelwald
374	chapter
375	thirty
376	trunk
377	griphook
378	night
379	fleur
380	table
381	gregorovitch
382	snapped
383	deathly
384	hallows
385	ollivander
386	rita
387	skeeter
388	winky
389	wands
390	purple
391	department
392	madame
393	maxime
394	carriage
395	born
396	climbed
397	dementors
398	ring
399	bloody
400	tree
401	hogsmeade
402	street
403	blast
404	shield
405	spells
406	beg
407	inches
408	twin
409	lucius
410	paper
411	enormous
412	tournament
413	page
414	pumpkin
415	large
416	drive
417	privet
418	peter
419	pettigrew
420	bellatrix
421	unicorn
422	muriel
423	eleven
424	mad
425	noise
426	egg
427	young
428	fang
429	flames
430	group
431	crookshanks
432	hole
433	hog
434	memory
435	wood
436	hippogriff
437	water
438	box
439	essay
440	galleons
441	lee
442	twins
443	buckbeak
444	filthy
445	prince
446	mundungus
447	armor
448	portrait
449	suit
450	bits
451	ernie
452	toast
453	drink
454	eat
455	golden
456	godric
457	hat
458	sorting
459	sword
460	hundred
461	eggs
462	food
463	diary
464	azkaban
465	cup
466	toad
467	interest
468	murmur
469	gritted
470	jordan
471	imperius
472	bought
473	severus
474	book
475	pursed
476	field
477	peeves
478	willow
479	roots
480	weird
481	branches
482	whomping
483	chocolate
484	thief
485	trees
486	ears
487	cat
488	scabbers
489	law
490	match
491	goblin
492	vault
493	nigellus
494	phineas
495	pure
496	polyjuice
497	tables
498	goblins
499	borns
500	champion
501	ghost
502	gringotts
503	bin
504	rat
505	symbol
506	locket
507	express
508	crumple
509	horn
510	christmas
511	filch
512	necklace
513	rosmerta
514	slughorn
515	katie
516	bathilda
517	bode
518	healer
519	lift
520	headless
521	granger
522	shop
523	quirrell
524	tom
525	leaky
526	soul
527	toilet
528	crystal
529	triwizard
530	ended
531	cedric
532	pay
533	seventeen
534	alley
535	diagon
536	article
537	charms
538	sprout
539	secrets
540	riddle
541	expecto
542	patronum
543	circle
544	ball
545	dragons
546	hufflepuff
547	wine
548	dance
549	petrificus
550	totalus
551	party
552	goblet
553	krum
554	xenophilius
555	ravenclaw
556	tracks
557	bruise
558	moaning
559	newspaper
560	plate
561	paying
562	club
563	giants
564	slug
565	train
566	station
567	chamber
568	viktor
569	charlie
570	horntail
571	diggory
572	caretaker
573	knight
574	lady
575	feast
576	champions
577	slightest
578	whistle
579	skrewts
580	thread
581	broom
582	deeper
583	stool
584	borgin
585	platform
586	king
587	lovegood
588	fountain
589	winged
590	hepzibah
591	morfin
592	clunk
593	gaunt
594	atrium
595	ice
596	chattering
597	compartment
598	scrimgeour
599	grilles
600	firebolt
601	bludger
602	divided
603	butterbeer
604	finnigan
605	deathday
606	nick
607	cream
608	kreacher
609	regulus
610	fletcher
611	ariana
612	gnome
613	pitch
614	alicia
615	snitch
616	aberforth
617	stan
618	malkin
619	snow
620	password
621	quaffle
622	plant
623	blotts
624	flourish
625	mafalda
626	decoy
627	pastilles
628	puking
629	doge
630	grawp
631	cattermole
632	celestina
633	underage
634	merpeople
635	wireless
636	speech
637	bus
638	pince
639	rug
640	suits
641	sisters
642	gilderoy
643	lockhart
644	prime
645	enforcement
646	yaxley
647	norris
648	justin
649	colin
650	creevey
651	baron
652	beans
653	sweets
654	narcissa
655	mistletoe
656	norbert
657	tales
658	section
659	polish
660	jones
661	hooch
662	myrtle
663	vein
664	marge
665	mistress
666	restricted
667	bard
668	beedle
669	ogden
670	ern
671	gwenog
